,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
52,WIPRO,3.41451601426146,1.2194700050933789,311.0,312.1,4,15,2.0,2025-01-29 13:29:53.125935,2025-01-29 14:21:53.984552
53,VOLTAS,22.02599970224958,7.866428465089137,1472.35,1478.75,2,18,1.0,2025-01-29 10:21:08.934401,2025-01-29 15:23:13.487470
54,LUPIN,27.3270752717742,9.759669739919358,2053.0,2068.5,3,21,1.5,2025-01-29 12:43:00.803850,2025-01-29 14:58:36.855738
55,CDSL,23.96345864452461,8.55837808733022,1290.0,1290.8,4,28,2.0,2025-01-29 10:10:24.341463,2025-01-29 15:01:07.550726
56,PVRINOX,17.057536539473688,6.091977335526317,1076.4,1083.55,2,7,1.0,2025-01-29 11:31:14.726941,2025-01-29 15:06:32.384786
57,BHEL,3.594978961451612,1.28392105766129,198.4,200.3,6,29,3.0,2025-01-29 14:54:34.071258,2025-01-29 14:59:01.700747
58,ADANIENSOL,15.258935999999997,5.44962,744.1,741.5,1,11,0.5,2025-01-29 11:56:57.911597,2025-01-29 15:21:12.983117
59,PNB,1.3457193616298817,0.4806140577249577,98.23,97.76,3,21,1.5,2025-01-29 11:13:21.306729,2025-01-29 13:23:38.193087
60,TRENT,96.55968078794568,34.48560028140917,5650.05,5589.9,2,17,1.0,2025-01-29 15:21:23.221951,2025-01-29 15:29:50.489228
61,MRF,1208.8109942275044,431.7182122241087,111710.38870967744,111910.55,0,9,0.0,2025-01-29 09:11:48.318825,2025-01-29 12:06:23.379694
62,COALINDIA,4.609251589134126,1.6461612818336164,376.75,378.9,1,4,0.5,2025-01-29 11:43:51.221263,2025-01-29 15:23:13.487470
63,ALKEM,52.344583075212206,18.69449395543293,4998.25,5019.0,2,12,1.0,2025-01-29 14:09:08.406580,2025-01-29 15:29:50.489228
64,HUDCO,4.117964372444821,1.470701561587436,211.77,213.0,1,13,0.5,2025-01-29 09:31:10.869267,2025-01-29 15:10:32.841299
65,BPCL,3.544707076188455,1.2659668129244483,256.85,256.85,2,9,1.0,2025-01-29 15:11:45.480328,2025-01-29 15:11:45.480328
66,TATAMOTORS,10.486970097792872,3.745346463497454,752.9,754.55,3,22,1.5,2025-01-29 15:09:28.694844,2025-01-29 15:10:57.120103
67,HINDCOPPER,3.785022672325976,1.3517938115449917,228.61,228.2,3,17,1.5,2025-01-29 12:09:02.694697,2025-01-29 14:52:47.629271
68,POLYCAB,87.60956400148555,31.289130000530555,5764.45,5814.35,3,14,1.5,2025-01-29 12:21:46.648169,2025-01-29 15:10:16.867946
69,RECLTD,7.756673585398982,2.770240566213922,429.4,435.65,2,12,1.0,2025-01-29 09:38:34.247185,2025-01-29 15:10:10.941446
70,MOTHERSON,2.0871561646859087,0.7454129159592531,140.2,141.2,1,11,0.5,2025-01-29 09:43:32.687405,2025-01-29 13:46:38.170181
71,IPCALAB,20.299710052631585,7.249896447368423,1429.5,1439.65,5,20,2.5,2025-01-29 14:48:57.634250,2025-01-29 15:24:49.929486
